Source IP           Destination IP      Source Port    Destination Port    HTTP Request / Response                 
===================================================================================================================
XiaomiCommun_9e:9c:c3Broadcast           -              -                   -                                       
HonHaiPrecis_8c:90:55XiaomiCommun_9e:9c:c3-              -                   -                                       
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/themes/fusion/fusion_core/css/superfish-vertical.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/themes/acquia_prosper/css/acquia-prosper-style.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33429               -                                       
103.27.9.167        192.168.43.153      80             33429               -                                       
192.168.43.153      103.27.9.167        33429          80                  -                                       
103.27.9.167        192.168.43.153      80             33429               -                                       
103.27.9.167        192.168.43.153      80             33429               -                                       
192.168.43.153      103.27.9.167        33429          80                  -                                       
103.27.9.167        192.168.43.153      80             33429               -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        33429          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/themes/acquia_prosper/design_packs/gray/gray.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33425               -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        33425          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/themes/fusion/fusion_core/css/grid16-960.css HTTP/1.1 
103.27.9.167        192.168.43.153      80             33426               -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        33426          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /misc/jquery.js?5 HTTP/1.1          
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        -              -                   GET /misc/drupal.js?5 HTTP/1.1          
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/dhtml_menu/dhtml_menu.js?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33428               -                                       
103.27.9.167        192.168.43.153      80             33428               -                                       
192.168.43.153      103.27.9.167        33428          80                  -                                       
103.27.9.167        192.168.43.153      80             33428               -                                       
103.27.9.167        192.168.43.153      80             33428               -                                       
192.168.43.153      103.27.9.167        33428          80                  -                                       
103.27.9.167        192.168.43.153      80             33428               -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        33428          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/panels/js/panels.js?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33429               -                                       
103.27.9.167        192.168.43.153      80             33429               -                                       
192.168.43.153      103.27.9.167        33429          80                  -                                       
103.27.9.167        192.168.43.153      80             33429               -                                       
